State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield
Karnataka,BENGALURU RURAL,2001,Rabi,Urad,1.0,0.1,0.1
Karnataka,GADAG,2002,Kharif,Urad,1.0,0.1,0.1
Karnataka,UTTARA KANNADA,2000,Kharif,Sunflower,1.0,0.1,0.1
Karnataka,TUMAKURU,2011,Whole Year,Black pepper,1.0,0.3,0.3
Karnataka,RAMANAGARA,2011,Whole Year,Black pepper,2.0,0.6,0.3
Karnataka,BENGALURU RURAL,2010,Whole Year,Black pepper,1.0,0.6,0.6
Karnataka,BAGALKOT,2008,Whole Year,Cashewnut,1.0,0.61,0.61
Karnataka,MYSURU,1999,Kharif,Small millets,4.0,1.0,0.25
Karnataka,CHAMARAJANAGAR,2014,Rabi,Linseed,3.0,1.0,0.3333333333333333
Karnataka,KALABURAGI,2008,Whole Year,Sannhamp,4.0,1.0,0.25
Karnataka,BENGALURU RURAL,2012,Whole Year,Garlic,1.0,1.0,1.0
Karnataka,HAVERI,1999,Whole Year,Sannhamp,1.0,1.0,1.0
Karnataka,BENGALURU RURAL,2012,Summer,Cowpea(Lobia),2.0,1.0,0.5
Karnataka,BENGALURU RURAL,2012,Summer,Sunflower,1.0,1.0,1.0
Karnataka,SHIVAMOGGA,2009,Rabi,Rapeseed &Mustard,4.0,1.0,0.25
Karnataka,RAICHUR,1998,Kharif,Niger seed,6.0,1.0,0.1666666666666666
Karnataka,YADAGIRI,2011,Kharif,Niger seed,5.0,1.0,0.2
Karnataka,DAKSHINA KANNADA,2014,Kharif,Cowpea(Lobia),2.0,1.0,0.5
Karnataka,TUMAKURU,2000,Whole Year,Garlic,1.0,1.0,1.0
Karnataka,TUMAKURU,2000,Rabi,Urad,3.0,1.0,0.3333333333333333
Karnataka,RAICHUR,2005,Rabi,Moong,3.0,1.0,0.3333333333333333
Karnataka,DAVANGERE,2001,Rabi,Linseed,3.0,1.0,0.3333333333333333
Karnataka,UTTARA KANNADA,2009,Rabi,Jowar,2.0,1.0,0.5
Karnataka,TUMAKURU,2007,Whole Year,Garlic,1.0,1.0,1.0
Karnataka,HAVERI,2000,Whole Year,Sannhamp,2.0,1.0,0.5
Karnataka,YADAGIRI,2011,Rabi,Urad,2.0,1.0,0.5
Karnataka,TUMAKURU,2011,Kharif,Soyabean,1.0,1.0,1.0
Karnataka,BENGALURU RURAL,2011,Kharif,Sunflower,3.0,1.0,0.3333333333333333
Karnataka,CHITRADURGA,1999,Whole Year,Garlic,1.0,1.0,1.0
Karnataka,BENGALURU RURAL,2014,Rabi,Sunflower,1.0,1.0,1.0
Karnataka,BALLARI,2012,Rabi,Urad,1.0,1.0,1.0
Karnataka,DHARWAD,2000,Rabi,Urad,2.0,1.0,0.5
Karnataka,BENGALURU RURAL,2013,Whole Year,Garlic,1.0,1.0,1.0
Karnataka,CHIKKAMAGALURU,2013,Rabi,Linseed,4.0,1.0,0.25
Karnataka,SHIVAMOGGA,2003,Whole Year,Garlic,1.0,1.0,1.0
Karnataka,SHIVAMOGGA,2014,Whole Year,Coriander,3.0,1.0,0.3333333333333333
Karnataka,BENGALURU URBAN,2014,Kharif,Small millets,2.0,1.0,0.5
Karnataka,SHIVAMOGGA,1999,Whole Year,Coriander,2.0,1.0,0.5
Karnataka,DAVANGERE,2002,Rabi,Linseed,3.0,1.0,0.3333333333333333
Karnataka,RAMANAGARA,2010,Whole Year,Cashewnut,2.0,1.0,0.5
Karnataka,HAVERI,2002,Whole Year,Sannhamp,6.0,1.0,0.1666666666666666
Karnataka,VIJAYAPURA,2001,Rabi,Other Rabi Pulses,7.0,1.0,0.1428571428571428
Karnataka,BENGALURU RURAL,2014,Summer,Sunflower,1.0,1.0,1.0
Karnataka,CHIKKAMAGALURU,2014,Rabi,Linseed,2.0,1.0,0.5
Karnataka,VIJAYAPURA,2001,Rabi,Moong,4.0,1.0,0.25
Karnataka,RAMANAGARA,2014,Kharif,Sunflower,2.0,1.0,0.5
Karnataka,DHARWAD,1999,Rabi,Rapeseed &Mustard,1.0,1.0,1.0
Karnataka,DHARWAD,1999,Whole Year,Tobacco,2.0,1.0,0.5
Karnataka,MANDYA,2005,Rabi,Rapeseed &Mustard,2.0,1.0,0.5
Karnataka,YADAGIRI,2012,Rabi,Urad,1.0,1.0,1.0
Karnataka,CHIKKAMAGALURU,2013,Kharif,Bajra,1.0,1.0,1.0
Karnataka,UTTARA KANNADA,1998,Kharif,Rapeseed &Mustard,5.0,1.0,0.2
Karnataka,UTTARA KANNADA,1998,Kharif,Moong,7.0,1.0,0.1428571428571428
Karnataka,UTTARA KANNADA,2011,Kharif,Sesamum,2.0,1.0,0.5
Karnataka,BENGALURU URBAN,2013,Rabi,Moong,4.0,1.0,0.25
Karnataka,UTTARA KANNADA,2009,Summer,Sunflower,1.0,1.0,1.0
Karnataka,SHIVAMOGGA,2011,Kharif,Sunflower,3.0,1.0,0.3333333333333333
Karnataka,DHARWAD,2010,Rabi,Rapeseed &Mustard,3.0,1.0,0.3333333333333333
Karnataka,DHARWAD,2010,Whole Year,Mesta,1.0,1.0,1.0
Karnataka,CHIKKAMAGALURU,2012,Summer,Cowpea(Lobia),4.0,1.0,0.25
Karnataka,CHAMARAJANAGAR,1999,Kharif,Soyabean,1.0,1.0,1.0
Karnataka,RAMANAGARA,2007,Summer,Sunflower,1.0,1.0,1.0
Karnataka,BENGALURU RURAL,2010,Rabi,Cowpea(Lobia),3.0,1.0,0.3333333333333333
Karnataka,MANDYA,2008,Rabi,Gram,2.0,1.0,0.5
Karnataka,BENGALURU RURAL,2009,Kharif,Moong,6.0,1.0,0.1666666666666666
Karnataka,YADAGIRI,2012,Rabi,Linseed,3.0,1.0,0.3333333333333333
Karnataka,MANDYA,2004,Rabi,Wheat,3.0,1.0,0.3333333333333333
Karnataka,BENGALURU URBAN,2013,Rabi,Linseed,2.0,1.0,0.5
Karnataka,CHIKBALLAPUR,2010,Whole Year,Garlic,1.0,1.0,1.0
Karnataka,SHIVAMOGGA,2014,Rabi,Cowpea(Lobia),4.0,1.0,0.25
Karnataka,BENGALURU URBAN,2013,Kharif,Small millets,3.0,1.0,0.3333333333333333
Karnataka,SHIVAMOGGA,2001,Rabi,Ragi,1.0,1.0,1.0
Karnataka,RAICHUR,2005,Whole Year,Coriander,4.0,1.0,0.25
Karnataka,BENGALURU RURAL,2009,Kharif,Urad,6.0,1.0,0.1666666666666666
