Arrival_Date,Commodity,Market,Min_Price,Max_Price,Modal_Price,State,District
2002-10-09,Groundnut,Sendhwa,1031.0,1111.0,1071.0,Madhya Pradesh,Badwani
2002-10-10,Groundnut,Sendhwa,1100.0,1230.0,1165.0,Madhya Pradesh,Badwani
2002-10-11,Groundnut,Sendhwa,1051.0,1200.0,1126.0,Madhya Pradesh,Badwani
2002-10-12,Groundnut,Sendhwa,990.0,1071.0,1031.0,Madhya Pradesh,Badwani
2002-10-14,Groundnut,Sendhwa,900.0,1051.0,976.0,Madhya Pradesh,Badwani
2002-10-16,Groundnut,Sendhwa,951.0,1111.0,1031.0,Madhya Pradesh,Badwani
2002-10-17,Groundnut,Sendhwa,975.0,1011.0,993.0,Madhya Pradesh,Badwani
2002-10-18,Groundnut,Sendhwa,1035.0,1100.0,1068.0,Madhya Pradesh,Badwani
2002-10-19,Groundnut,Sendhwa,1091.0,1225.0,1158.0,Madhya Pradesh,Badwani
2002-10-21,Groundnut,Sendhwa,1250.0,1460.0,1355.0,Madhya Pradesh,Badwani
2002-10-22,Groundnut,Sendhwa,1245.0,1572.0,1409.0,Madhya Pradesh,Badwani
2002-10-23,Groundnut,Sendhwa,1301.0,1751.0,1526.0,Madhya Pradesh,Badwani
2002-10-24,Groundnut,Sendhwa,1351.0,1671.0,1511.0,Madhya Pradesh,Badwani
2002-10-25,Groundnut,Sendhwa,1300.0,1550.0,1425.0,Madhya Pradesh,Badwani
2002-10-26,Groundnut,Sendhwa,1121.0,1551.0,1336.0,Madhya Pradesh,Badwani
2002-10-28,Groundnut,Sendhwa,1460.0,1562.0,1511.0,Madhya Pradesh,Badwani
2002-10-29,Groundnut,Sendhwa,1316.0,1555.0,1436.0,Madhya Pradesh,Badwani
2002-10-30,Groundnut,Sendhwa,1476.0,1551.0,1514.0,Madhya Pradesh,Badwani
2002-10-31,Groundnut,Sendhwa,1381.0,1550.0,1466.0,Madhya Pradesh,Badwani
2002-11-01,Groundnut,Sendhwa,1422.0,1575.0,1498.0,Madhya Pradesh,Badwani
2002-11-02,Groundnut,Sendhwa,1375.0,1551.0,1463.0,Madhya Pradesh,Badwani
2002-11-09,Groundnut,Sendhwa,1656.0,1701.0,1679.0,Madhya Pradesh,Badwani
2002-11-11,Groundnut,Sendhwa,1675.0,1801.0,1738.0,Madhya Pradesh,Badwani
2002-11-12,Groundnut,Sendhwa,1750.0,1900.0,1825.0,Madhya Pradesh,Badwani
2002-11-13,Groundnut,Sendhwa,1700.0,1851.0,1776.0,Madhya Pradesh,Badwani
2002-11-14,Groundnut,Sendhwa,1708.0,1775.0,1717.0,Madhya Pradesh,Badwani
2002-11-15,Groundnut,Sendhwa,1675.0,1785.0,1730.0,Madhya Pradesh,Badwani
2002-11-16,Groundnut,Sendhwa,1694.0,1732.0,1713.0,Madhya Pradesh,Badwani
2002-11-18,Groundnut,Sendhwa,1661.0,1751.0,1706.0,Madhya Pradesh,Badwani
2002-11-19,Groundnut,Sendhwa,1662.0,1685.0,1674.0,Madhya Pradesh,Badwani
2002-11-20,Groundnut,Sendhwa,1200.0,1721.0,1461.0,Madhya Pradesh,Badwani
2002-11-21,Groundnut,Sendhwa,1650.0,1715.0,1683.0,Madhya Pradesh,Badwani
2002-11-22,Groundnut,Sendhwa,1671.0,1711.0,1691.0,Madhya Pradesh,Badwani
2002-11-23,Groundnut,Sendhwa,1641.0,1701.0,1671.0,Madhya Pradesh,Badwani
2002-11-25,Groundnut,Sendhwa,1641.0,1701.0,1671.0,Madhya Pradesh,Badwani
2002-11-26,Groundnut,Sendhwa,1575.0,1653.0,1614.0,Madhya Pradesh,Badwani
2002-11-27,Groundnut,Sendhwa,1575.0,1642.0,1609.0,Madhya Pradesh,Badwani
2002-11-28,Groundnut,Sendhwa,1615.0,1632.0,1624.0,Madhya Pradesh,Badwani
2002-11-29,Groundnut,Sendhwa,1575.0,1653.0,1614.0,Madhya Pradesh,Badwani
2002-11-30,Groundnut,Sendhwa,1601.0,1655.0,1628.0,Madhya Pradesh,Badwani
2002-12-02,Groundnut,Sendhwa,1501.0,1621.0,1561.0,Madhya Pradesh,Badwani
2002-12-03,Groundnut,Sendhwa,1600.0,1670.0,1635.0,Madhya Pradesh,Badwani
2002-12-04,Groundnut,Sendhwa,1600.0,1670.0,1635.0,Madhya Pradesh,Badwani
2002-12-05,Groundnut,Sendhwa,1550.0,1600.0,1575.0,Madhya Pradesh,Badwani
2002-12-06,Groundnut,Sendhwa,1600.0,1654.0,1627.0,Madhya Pradesh,Badwani
2002-12-07,Groundnut,Sendhwa,1551.0,1675.0,1613.0,Madhya Pradesh,Badwani
2002-12-09,Groundnut,Sendhwa,1572.0,1690.0,1631.0,Madhya Pradesh,Badwani
2002-12-10,Groundnut,Sendhwa,1600.0,1655.0,1629.0,Madhya Pradesh,Badwani
2002-12-11,Groundnut,Sendhwa,1587.0,1650.0,1619.0,Madhya Pradesh,Badwani
2002-12-12,Groundnut,Sendhwa,1600.0,1676.0,1638.0,Madhya Pradesh,Badwani
